¶‘[LogSystem]System.Void DBData`1::Load(Integer64):62(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():631(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():716(1)
[Utility::Format]System.Void EquipTipView::UpdateEquipUI():746(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():779(1)
[none]System.Void EquipTipView::.ctor():154(1)
[LogSystem][System.Int32]System.Void PetObjectManager::CreateNewPet(MessageDefine.QSCMD_NEW_OBJPETSC):34(1)
[LogSystem][System.Int32]System.Void PetObjectManager::CreateNewPet(MessageDefine.QSCMD_NEW_OBJPETSC):55(1)
[Utility::Format][System.Int32]System.Void PetObjectManager::UpdatePetProperty(CsLibrary.EntityInfo,System.String,System.Single,System.Single,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):86(1)
[Utility::Format][System.Int32]System.Void PetObjectManager::UpdatePetProperty(CsLibrary.EntityInfo,System.String,System.Single,System.Single,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):110(1)
[none]System.Void PetObjectManager::UpdatePetProperty(CsLibrary.EntityInfo,System.String,System.Single,System.Single,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):111(1)
[LogSystem]System.Void PlayerController::StartClientStory(System.String):637(1)
[LogSystem]System.Void PlayerController::StopClientStory(System.String):648(1)
[LogSystem]System.Void PlayerController::StartStory():655(1)
[LogSystem]System.Void PlayerController::StopStory():665(1)
[GfxStorySystem::SendMessage]System.Void PlayerController::SkipStory():701(1)
[LogSystem][System.Int32]System.Void PlayerController::SkipStory():704(1)
[none]System.Void ConfigManager::Load_skills():766(1)
[none]System.Void ConfigManager::Load_impactList():883(1)
[Utility::Format]System.Void ConfigManager::MergeDictionary(System.Collections.Generic.Dictionary`2<TKey,TValue>,System.Collections.Generic.Dictionary`2<TKey,TValue>[]):1632(1)
[none]System.Void ConfigManager::.cctor():1532(1)
[LogSystem]System.Void Cs2LuaModuleProxy::SendPing():21(1)
[none]System.Void GameControler::InitGame(System.Boolean):21(1)
[none]System.Void GameControler::Release():67(1)
[LogSystem][System.Int32]System.Void GameControler::TickGame():85(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::HandleQueuedMessages():94(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::OnReceive(System.Byte[],System.Int32):135(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::OnReceive(System.Byte[],System.Int32):147(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::ResumeAndConsumeAll():181(1)
[LogSystem]System.Void MessageHandlerManager::HandlePong(System.Object):190(1)
[GfxStorySystem::SendMessage]System.Void SceneMessageHandler::QSCMD_ENTERSCENESC_Handler(System.Object):80(1)
[LogSystem]System.Void SceneMessageHandler::QSCMD_ENTERSCENESC_Handler(System.Object):86(1)
[LogSystem]System.Void SceneMessageHandler::OnClientLoadingComplete():108(1)
[LogSystem]System.Void SceneMessageHandler::OnClientLoadingComplete():112(1)
[LogSystem]System.Void SceneMessageHandler::OnClientLoadingComplete():121(1)
[LogSystem]System.Void SceneMessageHandler::QSCMD_DEBUG_LOGSC_Handler(System.Object):128(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_USERATTR_DETAILSC_Handler(System.Object):203(1)
[LogSystem]System.Void SceneMessageHandler::QSCMD_ROLE_RELIVESC_Handler(System.Object):407(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_SYNCUSERATTRSC_Handler(System.Object):454(1)
[LogSystem]System.Void SceneMessageHandler::QSCMD_CHANGESCENESC_Handler(System.Object):486(1)
[LogSystem]System.Void SceneMessageHandler::QSCMD_CHANGESCENESC_Handler(System.Object):494(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_CHANGESCENESC_Handler(System.Object):618(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_NOTIFYCHANGESCENESC_Handler(System.Object):681(1)
[none]System.Void SceneMessageHandler::QSCMD_NOTIFYCHANGESCENESC_Handler(System.Object):716(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_NOTIFYCHANGESCENESC_Handler(System.Object):757(1)
[Utility::Format][System.Int32]System.Void SceneMessageHandler::QSCMD_NOTIFYCHANGESCENESC_Handler(System.Object):758(1)
[none]System.Void SceneMessageHandler::QSCMD_DYNAMIC_BLOCKSC_Handler(System.Object):817(1)
[Dict::Format][System.Int32]System.Void SceneMessageHandler::QSCMD_PVP_MODESC_Handler(System.Object):832(1)
[Dict::Format][System.Int32]System.Void SceneMessageHandler::QSCMD_PVP_MODESC_Handler(System.Object):837(1)
[Dict::Format][System.Int32]System.Void SceneMessageHandler::QSCMD_PVP_KILL_LISTSC_Handler(System.Object):864(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::DestroyWithServerObjId(System.Int32):914(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::DestroyWithServerObjId(System.Int32):918(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::DestroyWithServerObjId(System.Int32):922(1)
[none]System.Void SceneMessageHandler::DestroyWithServerObjId(System.Int32):941(1)
[LogSystem]System.Void SceneMessageHandler::QSCMD_NEWPLAYERSC_Handler(System.Object):953(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_NEWNPCSC_Handler(System.Object):967(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_NEW_FLYSC_Handler(System.Object):1013(1)
[none]System.Void SceneMessageHandler::CreateNewFly(MessageDefine.QSCMD_NEW_FLYSC):1153(1)
[Utility::Format][System.Int32]System.Void SceneMessageHandler::CreateNewFly(MessageDefine.QSCMD_NEW_FLYSC):1169(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::CreateNewFly(MessageDefine.QSCMD_NEW_FLYSC):1184(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::CreateNewNpc(MessageDefine.QSCMD_NEWNPCSC):1236(1)
[none]System.Void SceneMessageHandler::CreateNewNpc(MessageDefine.QSCMD_NEWNPCSC):1247(1)
[Utility::Format][System.Int32]System.Void SceneMessageHandler::CreateNewNpc(MessageDefine.QSCMD_NEWNPCSC):1326(1)
[LogSystem][System.Int32]System.Void SceneMessageHandler::CreateNewNpc(MessageDefine.QSCMD_NEWNPCSC):1372(1)
[LogSystem]System.Void SceneMessageHandler::OnEnterScene():1387(2)
[LogSystem]System.Void SceneMessageHandler::UpdateUserProperty(CsLibrary.EntityInfo,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>):1614(1)
[Utility::Format][System.Int32]System.Void SceneMessageHandler::UpdateUserProperty(CsLibrary.EntityInfo,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>):1635(1)
[none]System.Void SceneMessageHandler::UpdateUserProperty(CsLibrary.EntityInfo,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>):1636(1)
[Utility::Format][System.Int32]System.Void SceneMessageHandler::UpdateNpcProperty(CsLibrary.EntityInfo,MessageDefine.NPCAttriUnStable,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):1731(1)
[none]System.Void SceneMessageHandler::UpdateNpcProperty(CsLibrary.EntityInfo,MessageDefine.NPCAttriUnStable,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):1732(1)
[LogSystem]System.Void SceneMessageHandler::DebugPlayerHP(System.String,CsLibrary.EntityInfo,MessageDefine.QSAttrPair):1892(1)
[LogSystem]System.Void SceneMessageHandler::DebugPlayerHP(System.String,CsLibrary.EntityInfo,MessageDefine.QSAttrPair):1896(1)
[LogSystem]System.Void SceneMessageHandler::UpdateVarUserAttr(CsLibrary.EntityInfo,MessageDefine.UserAttriUnStable,System.Boolean):1949(1)
[none]System.Void GatherNumberView::SetParameters(System.Int32):186(1)
[none]System.Void GatherNumberView::SetParameters(System.Int32):189(1)
[none]System.Void GatherNumberView::SetParameters(System.Int32):198(1)
[none]System.Void GatherNumberView::SetInitialDrawer(System.String):232(1)
[none]System.Void GatherNumberView::SetInitialText(System.String,System.String):247(1)
[none]System.Void GatherNumberView::SetInitialText(System.String,System.String):248(1)
[none]System.Void GatherNumberView::.ctor():86(1)
[none]System.Void GatherNumberView::.ctor():90(1)
[none]System.Void GatherNumberView::.ctor():91(1)
[none]System.Void GatherNumberView::.ctor():92(1)
[none]System.Void GatherNumberView::.ctor():93(1)
[none]System.Void JiguanshuSGameView::InitGame():128(1)
[none]System.Void ScratchCarView::StartupFGUI():72(1)
[none]System.Void PaintCanvas::SetBrushPaint(System.Single,UnityEngine.Color32):250(1)
[none]System.Void PaintCanvas::SetBrushErase(System.Single,System.UInt16):279(1)
[LogSystem]System.Void PaintCanvas::PaintWithBrush(UnityEngine.Vector2,System.Single):308(1)
[LogSystem]System.Void PaintCanvas::PaintWithBrush(UnityEngine.Vector2,System.Single):313(1)
[none]System.Void MailController::OnDelButtonClick():171(1)
[LogSystem][System.Int32]System.Void AiDoNormal::PursueAttackingTarget(CsLibrary.EntityInfo,CsLibrary.EntityInfo,System.Int32):328(1)
[LogSystem]System.Boolean ChatFromFileCommand::ExecCommand(StorySystem.StoryInstance,StorySystem.StoryValueParams,System.Int64):33(1)
[LogSystem]System.Boolean ChatFromFileCommand::ExecCommand(StorySystem.StoryInstance,StorySystem.StoryValueParams,System.Int64):39(1)
[LogSystem]System.Boolean GmCommand::ExecCommand(StorySystem.StoryInstance,StorySystem.StoryValueParams,System.Int64):35(1)
[LogSystem]System.Boolean ChatCommand::ExecCommand(StorySystem.StoryInstance,StorySystem.StoryValueParams,System.Int64):30(1)
[none]System.Void MissionGuidanceAssistController::doWeekMask(System.UInt32):371(1)
[none]System.Void MissionGuidanceAssistController::doWeekMask(System.UInt32):380(1)
[none]System.Void NoviceDupGuidanceAssistController::doWeekMask(System.String):300(1)
[none]System.Void NoviceDupGuidanceAssistController::doWeekMask(System.String):309(1)
[LogSystem]System.Void BulletinView::ShowRightBullet(TableConfig.Bulletin):299(1)
[Utility::Format][System.Int32]System.Void BossBloodView::SetBloodColor(System.Int32):155(1)
[none]System.Void BossBloodView::.ctor():36(1)
[none]System.Void BanghuiClientDefData::.cctor():5(1)
[none]System.Void BanghuiClientDefData::.cctor():18(1)
[none]System.Boolean BanghuiEnrollSettingController::SendQSCMD_GANG_SET_CAN_JOIN_DIRECTLY(System.String,System.String,System.Boolean):77(1)
[String::Concat][System.Int32]System.String BanghuiXiulianDataProvider::GetLevelsInfo(System.Int32):45(1)
[String::Concat][System.Int32]System.Void FuhuoController::UpdateText():94(1)
[String::Concat][System.Int32]System.Void FuhuoController::UpdateText():108(1)
[String::Concat][System.Int32]System.Void FuhuoController::UpdateText():112(1)
[String::Concat][System.Int32]System.Void FuhuoController::UpdateText():130(1)
[String::Concat][System.Int32]System.Void FuhuoController::OnTickCounter(System.Object):147(1)
[none]System.Collections.Generic.List`1<System.Collections.Generic.KeyValuePair`2<System.Int32,FuliRewardInfo>> FuliRewardsController::GetRewardInfos(TableConfig.FuliRewardItem):300(1)
[none]System.Collections.Generic.List`1<System.Collections.Generic.KeyValuePair`2<System.Int32,FuliRewardInfo>> FuliRewardsController::GetRewardInfos(TableConfig.FuliRewardItem):303(1)
[LogSystem]System.Void CommonWeekGuidMode::setPath(System.String):82(1)
[LogSystem][System.Int32]System.Void CommonWeekGuidMode::setMainFuncID(System.Int32):103(1)
[LogSystem]System.Void CommonGuidMaskMode::setPath(System.String):225(1)
[LogSystem][System.Int32]System.Void CommonGuidMaskMode::setMainFuncID(System.Int32):246(1)
[none]System.Void GuidanceStepBase::registFinishEventListeners():345(1)
[none]System.Boolean GuidanceStepBase::registPreEventListeners():392(1)
[none]System.Void GuidanceStepBase::checkReRun():547(1)
[Utility::Format][System.Int32]System.Void GuidanceStepBase::finished():639(1)
[LogSystem]System.Void GuidanceStepBase::finished():640(1)
[none]System.Void GuidanceStepBase::finished():645(1)
[LogSystem][System.Int32]System.Void GuidanceStepSpecialJudgeState::doRealExecute():945(1)
[none]System.Boolean GuidanceStepWeekMask::beforeExecute():1214(1)
[none]System.Boolean GuidanceStepWeekMask::beforeExecute():1223(1)
[LogSystem][System.Int32]System.Void GuidanceStepManager::insertStepAfterInit(GuidanceStepBase):1379(1)
[LogSystem][System.Int32]System.Void GuidanceStepManager::removeStepAfterFinish(GuidanceStepBase):1389(1)
[LogSystem][System.Int32]System.Void GuidanceStepManager::removeStepAfterFinish(GuidanceStepBase):1394(1)
[LogSystem][System.Int32]System.Void GuidanceStepManager::startGuidance(System.Int32):1458(1)
[LogSystem][System.Int32]System.Void GuidanceStepManager::onFinishAllSteps():1601(1)
[LogSystem]System.Void GuidanceStepManager::onFinishAllSteps():1611(1)
[Utility::Format][System.Int32]System.Void GuidanceStepManager::printProgress():1674(1)
[LogSystem]System.Void GuidanceStepManager::printProgress():1675(1)
[Utility::Format][System.Int32]System.Void GuidanceStepManager::clearGuidanceSteps():1691(1)
[LogSystem]System.Void GuidanceStepManager::clearGuidanceSteps():1692(1)
[none]System.Void GuidanceController::doDefinedAction(System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.String,System.String,System.String,System.String,System.String):2639(1)
[Utility::Format][System.Int32]System.String GuidanceController::specialGetPath(System.Int32,System.String):2859(1)
[Utility::Format][System.Int32]System.String GuidanceController::specialGetPath(System.Int32,System.String):2866(1)
[LogSystem][System.Int32]System.Void HeroStoryPlaner::stopHeroStoryByGroupID(System.Int32):583(1)
[String::Concat][System.Int32]System.Void HeroStoryPlaner::startStoryByGroupID(System.Int32):601(1)
[String::Concat][System.Int32]System.Void HeroStoryPlaner::startHeroStoryByPersonalData(System.Collections.Generic.List`1<TableConfig.HeroStory>):644(1)
[LogSystem][System.Int32]System.Void HeroStoryPlaner::onFinishAllProgresses():738(1)
[LogSystem]System.Void HeroStoryPlaner::onFinishAllProgresses():745(1)
[Utility::Format][System.Int32]System.Void HeroStoryPlaner::clearHeroStoryProgresses():776(1)
[LogSystem]System.Void HeroStoryPlaner::clearHeroStoryProgresses():777(1)
[Utility::Format][System.Int32]System.Void HeroStoryPlaner::printProgress():784(1)
[LogSystem][System.Int32]System.Boolean HeroStoryController::hangUpNpcTo(CsLibrary.EntityInfo,System.String,System.String):1061(1)
[LogSystem]System.Boolean HeroStoryController::hangUpNpcTo(CsLibrary.EntityInfo,System.String,System.String):1065(1)
[none]System.Void MissionSearchRouteCommand::DoAction(System.String,UnityEngine.Vector2):23(1)
[none]System.Void MissionSearchRouteCommand::DoAction(System.String,UnityEngine.Vector2):31(1)
[none]System.Void MissionSearchRouteCommand::DoAction(System.String,UnityEngine.Vector2):46(1)
[none]System.Void OpenUICommand::DoAction(System.String,UnityEngine.Vector2):14(1)
[none]System.Void PublishEventCommand::DoAction(System.String,UnityEngine.Vector2):13(1)
[none]System.Void SetCameraCommand::DoAction(System.String,UnityEngine.Vector2):15(1)
[none]System.Void SetCameraCommand::DoAction(System.String,UnityEngine.Vector2):23(1)
[LogSystem]System.Void HyperLinkHandler::DoCommand_Impl(System.String,UnityEngine.Vector2):101(1)
[none]System.Void HyperLinkHandler::DoCommand_Impl(System.String,UnityEngine.Vector2):104(1)
[none]System.Void ItemTipCommand::DoAction(System.String,UnityEngine.Vector2):16(1)
[none]System.Void ClientItemTipsDynamicCommand::DoAction(System.String,UnityEngine.Vector2):46(1)
[none]System.Void ViewPlayerCommand::DoAction(System.String,UnityEngine.Vector2):15(1)
[none]System.Void MingjianMainController::ShowMingjianMainView():633(1)
[none]System.Void MingjianMainController::ShowSwordGuideView():652(1)
[none]System.Int32 MPJJRankMainController::getMenuByClassify(System.Int32,System.String):84(1)
[none]System.Void PaoPaoController::Handle_QSCMD_NPC_COMMANDSC(System.Object):140(1)
[none]System.Void PaoPaoController::Handle_QSCMD_NPC_COMMANDSC(System.Object):144(1)
[none]System.Void PlayerChengjiuDataProvider::QSCMD_ACHIEVE_LISTSC_Handler(System.Object):65(1)
[none]System.Void QTController::ShowQte(System.Int32,System.Int32):137(1)
[none]System.Void QTController::OnResult(System.Boolean,TableConfig.Qte,System.Int32):271(1)
[GfxStorySystem::SendMessage]System.Void QTController::OnResult(System.Boolean,TableConfig.Qte,System.Int32):274(1)
[none]System.Void QTController::OnResult(System.Boolean,TableConfig.Qte,System.Int32):279(1)
[LogSystem]System.Void ShezhiController::LoadSettingConfigFile():190(1)
[LogSystem]System.Void ShezhiController::SaveSettingConfigFile():221(1)
[none]System.Void TabRightController::UpdateTab():43(1)
[none]System.Void TabRightController::UpdateTab():56(1)
[none]System.Void ZbrlMainController::.ctor():40(1)
[LogSystem]System.Void ZhidianController::QSCMD_ZHI_DIANSCHandler(System.Object):29(1)
[LogSystem]System.Void ItemView::SetText(System.String,T):23(1)
[LogSystem]System.Void ItemView::SetVisible(System.String,System.Boolean):31(1)
[LogSystem]System.Void ItemView::SetImageLoaderUrl(System.String,System.String):39(1)
[LogSystem]System.Void ItemView::SetButtonCallback(System.String,System.Action):47(1)
[LogSystem]System.Void ItemView::SetControllerIndex(System.String,System.Int32):55(1)
[LogSystem]System.Void ItemView::SetControllerIndex(System.String,System.String,System.Int32):66(1)
[LogSystem]System.Void ItemView::SetLoaderFill(System.String,System.Single):77(1)
[LogSystem]System.Void ItemView::PlayTransition(System.String,System.String):88(1)
[LogSystem]System.Void ItemView::PlayTransition(System.String):96(1)
[LogSystem]System.Void ItemView::BindClickFun(System.String,System.Action):130(1)
[LogSystem]System.Void ItemView::BindTouchBeginFun(System.String,System.Action):138(1)
[LogSystem]System.Void ActivityController::Handle_QSCMD_SYNCTIMESC(System.Object):491(1)
[none]System.Int32[] ActivityController::GetAwardsItem(System.Int32,System.Boolean):914(1)
[none]System.Int32[] ActivityController::GetAwardsItem(System.Int32,System.Boolean):936(1)
[LogSystem][System.Int32]System.Void MountController::ShowMountView(System.Int32):217(1)
[LogSystem][System.Int32]System.Void MountController::ShowMountView(System.Int32):226(1)
[LogSystem][System.Int32]System.Void MountController::ShowMountView(System.Int32):232(1)
[LogSystem]System.Void OverHeadController::ClearData():330(1)
[none]System.Collections.Generic.List`1<UnityEngine.Vector3> SceneMapController::GetPath(UnityEngine.Vector3):82(1)
[none]System.Void TeamController::GetActTeamLevel(System.Int32,System.Int32&,System.Int32&,System.Int32&):206(1)
[none]System.Void TeamController::GetActTeamLevel(System.Int32,System.Int32&,System.Int32&,System.Int32&):213(1)
[none]System.Void TeamController::GetActTeamLevel(System.Int32,System.Int32&,System.Int32&,System.Int32&):230(1)
[none]UnityEngine.Vector3 UIMasterUtils::stringToVector3(System.String,System.Char):141(1)
[none]UnityEngine.Rect UIMasterUtils::stringToRect(System.String,System.Char):155(1)
[none]System.Int32 UIMasterUtils::analyseMoodToFeedBackID(System.String,System.Int32):230(1)
[none]System.Int32 UIMasterUtils::analyseMoodToFeedBackID(System.String,System.Int32):238(1)
[none]System.Int32 UIMasterUtils::analyseMoodToFeedBackID(System.String,System.Int32):241(1)
[Utility::Format][System.Int32]System.String UIMasterUtils::joinValuePropertyInfo(System.Int32,System.Int32,System.Boolean):599(1)
[none]UnityEngine.Texture2D UIMasterUtils::readImageExternalFile(System.String):940(1)
[Debug::Log]UnityEngine.Texture2D UIMasterUtils::readImageExternalFile(System.String):948(1)
[Utility::Format][System.Int32]System.String UIMasterUtils::intToString2Pos(System.Int32):1158(1)
[Utility::Format][System.Int32]System.String UIMasterUtils::convertTimeWithColon(System.Int32):1267(1)
[find:OnViewUpdate, UIMasterUtils::ConvertTimeToDHMS[Utility::Format][System.Int32]System.String UIMasterUtils::ConvertTimeToDHMS(System.Int32):1275(1)
[find:OnViewUpdate, UIMasterUtils::ConvertTimeToDHMS[Utility::Format][System.Int32]System.String UIMasterUtils::ConvertTimeToDHMS(System.Int32):1276(1)
[find:OnViewUpdate, UIMasterUtils::ConvertTimeToDHMS[Utility::Format][System.Int32]System.String UIMasterUtils::ConvertTimeToDHMS(System.Int32):1277(1)
[find:OnViewUpdate, UIMasterUtils::ConvertTimeToDHMS[Utility::Format][System.Int32]System.String UIMasterUtils::ConvertTimeToDHMS(System.Int32):1278(1)
[none]System.Boolean UIMasterUtils::analyseTime(System.String,System.Int32&,System.Int32&,System.Int32&):1288(1)
[none]IntList UIMasterUtils::toInt(System.String,System.Char):1454(1)
[none]UintList UIMasterUtils::toUInt(System.String,System.Char):1459(1)
[none]System.Void UserSkillData::.ctor():54(1)
[LogSystem]System.Void XiakeMainController::changeXiakeSceneCurrentState(XIAKE_SCENE_STATE_ENUM):596(2)
[LogSystem]System.Void XiakeMainController::changeXiakeSceneCurrentState(XIAKE_SCENE_STATE_ENUM):603(1)
[String::Concat]System.Void XiakeMainController::_checkIdle(System.Object):793(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::JudgeXiakeSceneEnter():916(1)
[none]System.Void XiakeMainController::JudgeXiakeSceneEnter():923(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::JudgeXiakeSceneEnter():931(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::JudgeXiakeSceneEnter():949(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::JudgeXiakeSceneEnter():959(1)
[LogSystem]System.Void XiakeMainController::XiaKeInteractActionFinishedServer(System.Int32,System.Single):1191(1)
[LogSystem]System.Void XiakeMainController::XiaKeInteractFinishedClientClick(System.Int32,System.Single):1215(1)
[LogSystem][System.Int32]System.Void XiakeMainController::TriggerDSLChangeServerCommandState(System.Int32):1227(2)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::TouchXiakeSelf():1487(1)
[LogSystem]System.Void XiakeMainController::TriggerNpcListened(System.Int32):1642(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::doClientFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1702(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::doClientFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1705(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::_doFeedBackContentAfterPlayerDo(TableConfig.XiakeSceneFeedBackContent,System.Int32):1778(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::_doFeedBackContentAfterPlayerDo(TableConfig.XiakeSceneFeedBackContent,System.Int32):1798(1)
[LogSystem]System.Void XiakeMainController::_innerDoSceneAction(System.Int32,System.Int32,System.Int32):1821(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::_innerDoSceneAction(System.Int32,System.Int32,System.Int32):1824(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::doFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1886(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::doFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1890(1)
[LogSystem]System.Void XiakeMainController::doFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1896(1)
[LogSystem]System.Void XiakeMainController::doFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1906(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::doFeedBackContent(TableConfig.XiakeSceneFeedBackContent,System.Int32):1919(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::takePhotoSceneAction(System.Int32,System.String):1928(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::showMainPlayer(System.Boolean):1945(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeMainController::showMainPlayer(System.Boolean):1950(1)
[GfxStorySystem::SendMessage]System.Void XiakeMainController::QSCMD_XIAKE_VISITSC_Handler(System.Object):2068(1)
[Debug::Log][System.Int32]System.Void Cs2LuaUiControllerManager::Update():197(1)
[none]FairyGUI.GObject Cs2LuaViewManager::GetFGUIViewNodeByDirectPath(System.String):500(1)
[none]FairyGUI.GObject Cs2LuaViewManager::GetFGUIViewNodeByPath(System.String):533(1)
[none]FairyGUI.GObject Cs2LuaViewManager::GetFGUIViewNodeByPath(System.String):563(1)
[LogSystem]System.Void Cs2LuaViewManager::ChangeTempViewDepth(System.String,System.Int32):620(1)
[find:OnViewUpdate, Cs2LuaViewManager::OnViewUpdate[LogSystem]System.Void Cs2LuaViewManager::OnViewUpdate():867(1)
[LogSystem]Cs2LuaStartupViewBase_FGUI Cs2LuaViewManager::LoadStartupView_FGUI(System.String,System.String,System.String,ViewGroup):923(1)
[LogSystem]Cs2LuaStartupViewBase_FGUI Cs2LuaViewManager::LoadStartupView_FGUI(System.String,System.String,System.String,ViewGroup):956(1)
[find:OnViewUpdate, Cs2LuaViewManager::CloseStartupView_FGUI[LogSystem]System.Void Cs2LuaViewManager::CloseStartupView_FGUI(Cs2LuaStartupViewBase_FGUI):1011(2)
[find:OnViewUpdate, Cs2LuaViewManager::CloseStartupView_FGUI[LogSystem]System.Void Cs2LuaViewManager::CloseStartupView_FGUI(Cs2LuaStartupViewBase_FGUI):1023(2)
[none]System.Void Cs2LuaViewManager::.cctor():112(1)
[LogSystem][System.Int32]System.String ItemUtility::GetItemUrlViaID(System.Int32):23(1)
[none]System.Void BagView::StartupFGUI():120(1)
[none]System.Void BagView::StartupFGUI():122(1)
[find:OnViewUpdate, BagView::OnViewUpdate[Utility::Format][System.Int32]System.Void BagView::OnViewUpdate():292(1)
[none]System.Void BagView::UpdateTabBtn(System.Int32,System.Int32):387(1)
[LogSystem][System.Int32]System.Void BagView::OnItemTabChange(System.Boolean):884(1)
[none]System.Void BagView::.ctor():49(1)
[Utility::Format]System.Void BanghuiBuildingView::BuildingListRender(System.Int32,FairyGUI.GObject):59(1)
[none]System.Void BanghuiChengyuanMainView::.ctor(FairyGUI.GComponent):33(1)
[none]System.Void BanghuiChengyuanMainView::.ctor(FairyGUI.GComponent):34(1)
[String::Concat]System.Void BanghuiChengyuanMainView::MemberListRender(System.Int32,FairyGUI.GObject):707(1)
[none]System.Void BanghuiMainView::setData():278(1)
[Utility::Format]System.Void BanghuiXiulianView::OnItemSelected():103(1)
[Utility::Format][System.Int32]System.Void BanghuiXuanzhanView::UpdateWarPointInfo():50(1)
[Utility::Format][System.Int32]System.Void BanghuiXuanzhanView::UpdateWarPointInfo():52(1)
[none]System.Void BanghuiYabiaoView::StartupFGUI():37(1)
[none]System.Void BaoshiMainView::initAll():152(1)
[none]System.Void BaoshiMainView::initAll():153(1)
[none]System.Void BaoshiMainView::initAll():155(1)
[none]System.Void BaoshiLeftEquipListView::init():756(1)
[String::Concat][System.Int32]System.Void BaoshiXialaTitleView::setFolderData(System.Int32):1313(1)
[LogSystem]System.Void BattleSelectionDrawUtils::DrawSkillSelection(System.Int32,System.Boolean):55(1)
[none]System.Void BattleSelectionDrawUtils::ClearSkillSelection():157(1)
[String::Concat]System.Void BattleSelectionDrawUtils::OnAimingTouchMove(UnityEngine.Vector2):272(1)
[Utility::Format][System.Int32]System.Void ChapterAnimationView::StartupFGUI():26(1)
[none]System.Void ChapterAnimationView::.ctor():12(1)
[none]System.Void ChatMainView::OnclickSend():1215(1)
[none]System.Void ChatMainView::OnclickSend():1234(1)
[String::Concat][System.Int32]System.Void ChatMainView::OnclickSend():1236(1)
[Utility::Format][System.Int32]System.Void ChatMainView::SelectEmotionPanel(System.Int32):1336(1)
[Utility::Format]System.Void ChatMainView::OnClickCurrentScreenPostion():1595(1)
[Utility::Format][System.Int32]System.Void ChatMainView::OnClickPetItem(MessageDefine.stPet):1705(1)
[Utility::Format]System.Void ChatMainView::OnClickPetItem(MessageDefine.stPet):1707(1)
[String::Concat]System.Void ChatMainView::OnClickPetItem(MessageDefine.stPet):1708(3)
